date,season,home_team,away_team,home_runs,away_runs,stage
2025-10-06,2025,삼성,NC,1,4,Postseason
2025-10-07,2025,삼성,NC,3,0,Postseason
2025-10-09,2025,SSG,삼성,2,5,Postseason
2025-10-11,2025,SSG,삼성,4,3,Postseason
2025-10-13,2025,삼성,SSG,5,3,Postseason
2025-10-14,2025,삼성,SSG,5,2,Postseason
2025-10-18,2025,한화,삼성,9,8,Postseason
2025-10-19,2025,한화,삼성,3,7,Postseason
2025-10-21,2025,삼성,한화,4,5,Postseason
2025-10-22,2025,삼성,한화,7,4,Postseason
2025-10-24,2025,한화,삼성,11,2,Postseason
2025-10-26,2025,LG,한화,8,2,Postseason
2025-10-27,2025,LG,한화,13,5,Postseason
2025-10-29,2025,한화,LG,7,3,Postseason
2025-10-30,2025,한화,LG,4,7,Postseason
2025-10-31,2025,한화,LG,1,4,Postseason
